,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
6494,Mlec,-0.31308709229684,0.1371076334264766,0.4469890299011231,0.4764892675015087,0.0225052155331814,0.2575586104962467,-0.0128539920756865,0.9284711837634038,0.9999068176988548
6495,Igf2,-0.8147690990382856,0.3438644770895173,0.6936242765856359,0.221508498460786,0.7613241706025033,0.9438417515920386,0.6421917999744379,0.0001298597160204,0.0930740001004517
6496,Myof,0.0994913658566857,0.5682134745594987,0.8428902029944837,1.355264926657068,5.178035274073278e-11,9.137557146784172e-08,-0.1867024388104625,0.187022871569507,0.9999068176988548
6497,Lemd3,0.0387448691779073,0.8555873692539129,0.9575439668723754,0.1615957655818512,0.4260543965584594,0.7990312591616735,0.0197682239826939,0.9085434871824828,0.9999068176988548
6498,Mex3d,0.0047137771136325,0.9844052920774112,0.9949252697043608,0.0624092835766516,0.8305442663532933,0.9618565154106166,0.2340227077476108,0.1688823984301143,0.9999068176988548
6499,Ccdc6,-0.0897960247232781,0.6661410574267106,0.8850817386979201,0.5212903366963622,0.0245831112764961,0.2685986000387934,-0.0776924778983687,0.6157933394493789,0.9999068176988548
6500,Tprn,0.4027431911002315,0.0869248275289777,0.3534093709425432,-0.2395000039546178,0.3149514466715456,0.7238490317183064,0.0908381904812849,0.5996872887792679,0.9999068176988548
6501,Tbc1d12,-0.0399622129186247,0.8212250899841285,0.944835580120264,0.3318018005805922,0.1216095713599811,0.5238229522957039,0.0632425196783804,0.6896086001181723,0.9999068176988548
6502,Klhl11,0.1420596010490653,0.46754618825148,0.7836841594697888,0.1095431581391356,0.5800041988405713,0.8744384751102124,-0.0697141869498794,0.7091027342212401,0.9999068176988548
6503,Foxo3,0.2697126420837423,0.3110658697620835,0.6642950686401838,0.4610582298187252,0.048521088668634,0.3627819501907255,0.0488279403099122,0.8046100066901316,0.9999068176988548
6504,Rpl29,-0.2817467547633643,0.1329164006538724,0.4400587930930182,-0.2104034402789466,0.3442321262000137,0.7503080665789824,0.0908690368847734,0.5033607683439607,0.9999068176988548
6506,Dcun1d3,-0.115626425553865,0.5216922952603542,0.8188016977524277,0.4242792134957186,0.0515685283338789,0.3748121238639655,-0.2671951698445116,0.045764453151999,0.9999068176988548
6507,Cyb561d1,-0.0772351877940334,0.6868687195634848,0.8938938178412426,0.2891089627228956,0.2312303635435388,0.6625632747812641,-0.0674765803060546,0.6898574606668928,0.9999068176988548
6508,Cep120,-0.0821782475696955,0.6657286051057733,0.8850817386979201,-0.0326280748567265,0.8767538417284387,0.9766941240292638,-0.034052560736118,0.8143993009261794,0.9999068176988548
6509,Slc35e4,-0.3410743786751624,0.1006441873133665,0.3786418632621439,0.1243653874358218,0.5305283290084153,0.8530604225382817,0.2130854315305813,0.1916867696826745,0.9999068176988548
6510,Vps37c,-0.4331686478191009,0.0085251242235917,0.0843206452378593,-0.1150263763930772,0.6049642309203269,0.8845161284057388,0.0576737946789936,0.7004444149771529,0.9999068176988548
6511,Slc39a9,-0.0083342297104907,0.9627822569816024,0.9874593457957288,-0.1051094270858782,0.647027200654812,0.8989827365457448,0.0652260570556278,0.6482419890882105,0.9999068176988548
6512,Phf3,-0.0406238744996607,0.8384030084216052,0.952013161921082,0.250585549754317,0.1705224928143955,0.5936855150944376,-0.1783402662505817,0.2730126894895754,0.9999068176988548
6513,Hexim1,0.0962243244345574,0.6553889894143317,0.8790933135193426,0.1261013073571732,0.6618506385009488,0.9034366860113124,0.1986912809672194,0.3628757983352325,0.9999068176988548
6514,Rnf24,-0.9594180027748846,6.286658928675227e-06,0.0003754373661723,0.59412244756895,0.0110185103739069,0.1835864303893844,0.2288011472658045,0.4014566671754799,0.9999068176988548
6515,Fkrp,-0.2587376676118868,0.2345740522414522,0.5880057617386827,0.0125010759829642,0.9489234244769968,0.9922998423064048,0.1143764351430706,0.4878867902551782,0.9999068176988548
6516,Ccdc125,0.3550880453657825,0.1175018200942376,0.4117976518982755,0.084642304211347,0.7333751611034287,0.933371032170549,-0.1305402140384279,0.5352968859022381,0.9999068176988548
6517,Tada3,0.1781498318863789,0.3262146784668465,0.6799081504080007,0.0471433061987688,0.8128467177849041,0.958608027160632,-0.0911564013593571,0.555242970201078,0.9999068176988548
6518,Atp13a5,-0.3083224256769326,0.8252559407643659,0.9464519514547518,0.1173079806916756,0.6437119899307449,0.8989827365457448,0.3458918870093798,0.0323190091304437,0.9999068176988548
6519,Prex2,0.1168819294839816,0.4522044578778521,0.7715115205410038,0.1830253159389115,0.4434903782309678,0.8074203991978656,-0.1690524361239515,0.1945425030712305,0.9999068176988548
